ngrama,frecuencia,frecuencia_relativa
i,22,0.05251
the,16,0.03819
and,13,0.03103
was,11,0.02625
to,9,0.02148
of,8,0.01909
a,8,0.01909
you,7,0.01671
my,7,0.01671
is,7,0.01671
in,7,0.01671
it,6,0.01432
for,6,0.01432
stay,6,0.01432
life,4,0.00955
that,4,0.00955
just,4,0.00955
about,4,0.00955
as,4,0.00955
your,4,0.00955
