ngrama,frecuencia,frecuencia_relativa
i was,6,0.01435
want to,3,0.00718
story is,3,0.00718
is about,3,0.00718
to do,3,0.00718
and i,3,0.00718
when i,3,0.00718
stay hungry,3,0.00718
hungry stay,3,0.00718
stay foolish,3,0.00718
i want,2,0.00478
three stories,2,0.00478
my life,2,0.00478
the first,2,0.00478
before i,2,0.00478
what i,2,0.00478
in a,2,0.00478
had just,2,0.00478
it was,2,0.00478
i have,2,0.00478
