ngrama,frecuencia,frecuencia_relativa
story is about,3,0.00719
when i was,3,0.00719
stay hungry stay,3,0.00719
hungry stay foolish,3,0.00719
i want to,2,0.0048
today i want,1,0.0024
want to tell,1,0.0024
to tell you,1,0.0024
tell you three,1,0.0024
you three stories,1,0.0024
three stories from,1,0.0024
stories from my,1,0.0024
from my life,1,0.0024
my life that,1,0.0024
life that is,1,0.0024
that is it,1,0.0024
is it no,1,0.0024
it no big,1,0.0024
no big deal,1,0.0024
big deal just,1,0.0024
