termino,frecuencia_A,frecuencia_B,frecuencia_relativa_A,frecuencia_relativa_B
cambio climático,3,3,0.010791,0.008721
calentamiento global,3,2,0.010791,0.005814
emisiones,6,4,0.021583,0.011628
transición energética,1,2,0.003597,0.005814
energías renovables,1,3,0.003597,0.008721
justicia climática,0,1,0.0,0.002907
adaptación,3,4,0.010791,0.011628
mitigación,1,2,0.003597,0.005814
carbono,1,0,0.003597,0.0
futuro,1,1,0.003597,0.002907
