ngrama,frecuencia,frecuencia_relativa
will be,10,0.02208
let freedom,10,0.02208
freedom ring,10,0.02208
ring from,8,0.01766
i have,7,0.01545
have a,7,0.01545
a dream,7,0.01545
one day,7,0.01545
be able,6,0.01325
able to,6,0.01325
dream that,5,0.01104
from the,5,0.01104
that one,4,0.00883
we will,4,0.00883
together to,4,0.00883
